year,month,sido+sgg,nolivework_in_cnt
2018,09,3648170.0,5299
2018,09,3648220.0,487
2018,09,3648240.0,1332
2018,09,3648250.0,8349
2018,09,3648270.0,2623
2018,09,3648310.0,4046
2018,09,3648330.0,7330
2018,09,3648720.0,28
2018,09,3648730.0,434
2018,09,3648740.0,531
2018,09,3648820.0,56
2018,09,3648840.0,121
2018,09,3648850.0,91
2018,09,3648860.0,91
2018,09,3648870.0,161
2018,09,3648880.0,437
2018,09,3648890.0,238
2018,09,3650110.0,6332
2018,09,3650130.0,2463
