year,month,new_hd_cd,upjong_code,revenue,customer_count,payment_count
2017,1,36110250,8106,118900820.0,328.54,443.97
2017,1,36110250,8110,7715274.22,603.8,665.95
2017,1,36110250,8111,5398649.7,17.76,17.76
2017,1,36110250,8112,31619394.06,115.43,115.43
2017,1,36110250,8113,37018043.76,186.47,186.47
2017,1,36110250,8199,31068873.86,417.33,417.33
2017,1,36110250,8201,3480708.36,17.76,17.76
2017,1,36110250,8202,60978991.49,381.81,381.81
2017,1,36110250,8205,2994119.54,150.95,150.95
2017,1,36110250,8211,54106368.35,97.67,97.67
2017,1,36110250,8218,7271217.52,586.04,586.04
2017,1,36110250,8299,8595218.6,177.59,186.47
2017,1,36110250,8303,887935.81,26.64,26.64
2017,1,36110250,8304,6801588.28,168.71,177.59
2017,1,36110250,8399,5437718.88,44.4,44.4
2017,1,36110250,8404,77394260.74,44.4,44.4
2017,1,36110250,8406,45263415.66,2983.46,3001.22
2017,1,36110250,9001,18759419.78,461.73,461.73
2017,1,36110250,9002,381812.4,8.88,8.88
2017,1,36110250,9003,38096885.77,1660.44,1731.47
2017,1,36110250,9011,1546880959.0,4572.87,6091.24
2017,1,36110310,2002,6552966.25,301.9,301.9
2017,1,36110310,2004,1862889.32,168.71,168.71
2017,1,36110310,2104,141963176.7,3942.43,4031.23
2017,1,36110310,2109,12910586.62,470.61,470.61
2017,1,36110310,2112,150949.09,8.88,17.76
2017,1,36110310,2199,10167841.71,293.02,293.02
2017,1,36110310,2401,9332205.32,399.57,426.21
2017,1,36110310,2402,44047831.54,568.28,586.04
2017,1,36110310,3201,270554.04,8.88,8.88
2017,1,36110310,3403,6466925.27,106.55,124.31
2017,1,36110310,3406,204225.24,17.76,17.76
2017,1,36110310,4101,32044537.72,1935.7,2024.49
2017,1,36110310,4108,44330994.27,1447.34,1473.97
2017,1,36110310,4110,9483154.41,1260.87,1323.02
2017,1,36110310,4111,6925899.29,17.76,17.76
2017,1,36110310,4112,48320845.02,5940.29,6046.84
2017,1,36110310,5103,399571.11,8.88,8.88
2017,1,36110310,5605,14884467.92,150.95,150.95
2017,1,36110310,5608,933930037.4,16844.14,17101.64
2017,1,36110310,5609,334266994.9,10078.07,10095.83
2017,1,36110310,6001,266380.74,8.88,8.88
2017,1,36110310,6004,256306222.2,1402.94,1429.58
2017,1,36110310,7003,985608.74,142.07,142.07
2017,1,36110310,7005,1398498.89,97.67,97.67
2017,1,36110310,7102,6774950.2,177.59,177.59
2017,1,36110310,7106,2051131.71,53.28,53.28
2017,1,36110310,8205,1777647.48,133.19,133.19
2017,1,36110310,8404,24824021.33,1225.35,1394.06
2017,1,36110310,8406,2921308.8,328.54,328.54
2017,1,36110310,9011,94085322.85,319.66,364.05
2017,1,36110320,2002,1022014.11,142.07,142.07
2017,1,36110320,2104,88549398.28,3063.38,3098.9
2017,1,36110320,2107,2432944.11,44.4,44.4
2017,1,36110320,2109,21297140.31,1047.76,1056.64
2017,1,36110320,2112,506123.41,26.64,26.64
2017,1,36110320,2199,5531840.07,834.66,870.18
2017,1,36110320,2401,932332.6,17.76,17.76
2017,1,36110320,2402,2628289.99,8.88,8.88
2017,1,36110320,2406,758297.18,53.28,62.16
2017,1,36110320,3101,6037963.48,26.64,26.64
2017,1,36110320,3303,4013469.84,62.16,62.16
2017,1,36110320,3401,14546430.76,319.66,346.29
2017,1,36110320,3403,1730276.11,97.67,97.67
2017,1,36110320,3406,2490215.97,35.52,35.52
2017,1,36110320,4101,6158722.75,310.78,319.66
2017,1,36110320,4108,5216178.89,337.42,346.29
2017,1,36110320,4110,64770477.38,1944.58,1953.46
2017,1,36110320,4112,43520486.46,4999.08,5123.39
2017,1,36110320,5103,2708204.21,79.91,79.91
2017,1,36110320,5605,26828980.38,97.67,97.67
2017,1,36110320,5608,488579147.7,5372.01,5434.17
2017,1,36110320,5609,51604689.13,1545.01,1545.01
2017,1,36110320,5611,1731474.82,26.64,26.64
2017,1,36110320,6114,93943.61,17.76,17.76
2017,1,36110320,6199,11348707.54,159.83,168.71
2017,1,36110320,7106,1163195.91,26.64,26.64
2017,1,36110320,8202,1775871.61,8.88,8.88
2017,1,36110320,9001,3107775.32,62.16,62.16
2017,1,36110320,9002,13741694.54,44.4,44.4
2017,1,36110320,9011,127559082.1,319.66,461.73
2017,1,36110330,1004,248622.03,8.88,8.88
2017,1,36110330,1008,1687078.03,71.03,71.03
2017,1,36110330,1104,3018981.74,17.76,17.76
2017,1,36110330,1201,3107775.32,17.76,17.76
2017,1,36110330,1202,1775871.61,8.88,8.88
2017,1,36110330,1204,488364.69,17.76,17.76
2017,1,36110330,1207,896815.16,26.64,26.64
2017,1,36110330,2002,3244517.44,266.38,293.02
2017,1,36110330,2003,23026395.29,1784.75,1793.63
2017,1,36110330,2004,11064568.08,1269.75,1278.63
2017,1,36110330,2099,12836443.98,1012.25,1074.4
2017,1,36110330,2104,397704964.8,15778.62,15973.97
2017,1,36110330,2109,46003954.12,1766.99,1766.99
2017,1,36110330,2110,490140.57,53.28,53.28
2017,1,36110330,2112,3507346.43,168.71,168.71
2017,1,36110330,2199,16564442.47,692.59,719.23
2017,1,36110330,2401,355174.32,8.88,8.88
2017,1,36110330,2402,9024091.6,204.23,204.23
2017,1,36110330,2404,2930188.16,17.76,17.76
2017,1,36110330,2406,36311246.86,213.1,221.98
2017,1,36110330,3201,7601440.85,62.16,62.16
2017,1,36110330,3203,532761.48,17.76,17.76
2017,1,36110330,3303,7224245.72,62.16,62.16
2017,1,36110330,3401,20105415.03,692.59,710.35
2017,1,36110330,3403,39831024.4,728.11,754.75
2017,1,36110330,3404,3384367.33,62.16,62.16
2017,1,36110330,3406,2104407.86,71.03,71.03
2017,1,36110330,3408,293018.82,8.88,8.88
2017,1,36110330,3499,31339339.11,674.83,683.71
2017,1,36110330,4101,311793597.1,11108.08,11587.56
2017,1,36110330,4108,233786660.7,4759.34,4963.56
2017,1,36110330,4110,57298497.58,6481.93,6712.79
2017,1,36110330,4112,126158363.3,13976.11,14313.53
2017,1,36110330,4113,1491732.15,8.88,8.88
2017,1,36110330,4199,24680175.73,1917.94,1971.22
2017,1,36110330,5103,46838613.78,506.12,506.12
2017,1,36110330,5605,313290852.2,1287.51,1331.9
2017,1,36110330,5608,2237105081.0,19259.33,19827.61
2017,1,36110330,5611,1243110.13,44.4,44.4
2017,1,36110330,5612,2441823.47,8.88,8.88
2017,1,36110330,6010,7369867.19,35.52,35.52
2017,1,36110330,6011,600244.61,26.64,26.64
2017,1,36110330,6103,754745.44,26.64,26.64
2017,1,36110330,6107,851530.44,44.4,44.4
2017,1,36110330,6114,15776843.4,736.99,745.87
2017,1,36110330,6203,1553887.66,26.64,26.64
2017,1,36110330,7003,64795339.59,2228.72,2264.24
2017,1,36110330,7005,39840791.69,2246.48,2264.24
2017,1,36110330,7102,13727487.56,461.73,461.73
2017,1,36110330,7105,719228.0,133.19,133.19
2017,1,36110330,7106,1953458.77,17.76,17.76
2017,1,36110330,8102,11818425.58,26.64,26.64
2017,1,36110330,8203,2512858.33,35.52,35.52
2017,1,36110330,8205,17590896.26,976.73,1021.13
2017,1,36110330,8407,2725962.93,506.12,506.12
2017,1,36110330,9001,1833587.44,53.28,53.28
2017,1,36110330,9002,65245523.04,159.83,159.83
2017,1,36110330,9003,614451.58,26.64,26.64
2017,1,36110330,9011,206951198.4,559.4,754.75
2017,1,36110340,1004,3010102.38,53.28,53.28
2017,1,36110340,1008,4427247.93,106.55,106.55
2017,1,36110340,1101,710348.64,8.88,8.88
2017,1,36110340,1102,701469.29,17.76,17.76
