id,h_dng_cd,year,month,sex,age,population
133,36110550,2017,7,F,25,20282.58647
134,36110550,2017,7,F,30,30620.97182
135,36110550,2017,7,F,35,43510.42305
136,36110550,2017,7,F,40,35094.73259
137,36110550,2017,7,F,45,26331.38972
138,36110550,2017,7,F,50,18993.14775
139,36110550,2017,7,F,55,18258.48093
140,36110550,2017,7,F,60,13853.54824
141,36110550,2017,7,F,65,8887.671499
142,36110550,2017,7,F,70,6278.340252
143,36110550,2017,7,F,75,5812.301851
144,36110550,2017,7,M,15,14885.59021
145,36110550,2017,7,M,20,11723.57365
146,36110550,2017,7,M,25,15064.19858
147,36110550,2017,7,M,30,25133.19525
148,36110550,2017,7,M,35,36219.18003
149,36110550,2017,7,M,40,34992.61203
150,36110550,2017,7,M,45,31209.97979
151,36110550,2017,7,M,50,22405.43675
152,36110550,2017,7,M,55,19387.51536
153,36110550,2017,7,M,60,13933.18788
154,36110550,2017,7,M,65,8665.194713
155,36110550,2017,7,M,70,5766.401038
156,36110550,2017,7,M,75,3479.860834
157,36110550,2017,8,F,15,14855.30443
158,36110550,2017,8,F,20,12297.56655
159,36110550,2017,8,F,25,19389.61548
160,36110550,2017,8,F,30,29573.40268
161,36110550,2017,8,F,35,42373.76391
162,36110550,2017,8,F,40,34311.80395
163,36110550,2017,8,F,45,25590.70622
164,36110550,2017,8,F,50,18805.38644
165,36110550,2017,8,F,55,18233.07657
166,36110550,2017,8,F,60,13545.3879
167,36110550,2017,8,F,65,8689.25244
168,36110550,2017,8,F,70,6361.804054
169,36110550,2017,8,F,75,5838.770844
170,36110550,2017,8,M,15,14834.23779
171,36110550,2017,8,M,20,11498.86833
172,36110550,2017,8,M,25,14350.16
173,36110550,2017,8,M,30,24074.36706
174,36110550,2017,8,M,35,35402.70094
175,36110550,2017,8,M,40,34163.73612
176,36110550,2017,8,M,45,30416.22572
177,36110550,2017,8,M,50,21668.10387
178,36110550,2017,8,M,55,19104.24524
179,36110550,2017,8,M,60,13671.49847
180,36110550,2017,8,M,65,8443.043021
181,36110550,2017,8,M,70,5653.97575
182,36110550,2017,8,M,75,3409.129013
183,36110550,2017,9,F,15,14071.1908
184,36110550,2017,9,F,20,10708.80191
185,36110550,2017,9,F,25,19114.16097
186,36110550,2017,9,F,30,28925.97313
187,36110550,2017,9,F,35,42086.70048
188,36110550,2017,9,F,40,33924.83284
189,36110550,2017,9,F,45,25092.46558
190,36110550,2017,9,F,50,18304.20658
191,36110550,2017,9,F,55,17274.86583
192,36110550,2017,9,F,60,12976.43766
193,36110550,2017,9,F,65,8462.896214
194,36110550,2017,9,F,70,6168.932659
195,36110550,2017,9,F,75,5755.191156
196,36110550,2017,9,M,15,14133.39041
197,36110550,2017,9,M,20,9829.328353
198,36110550,2017,9,M,25,13460.59286
199,36110550,2017,9,M,30,22533.89027
200,36110550,2017,9,M,35,33842.41063
201,36110550,2017,9,M,40,32984.51733
202,36110550,2017,9,M,45,29920.5389
203,36110550,2017,9,M,50,20522.85379
204,36110550,2017,9,M,55,17939.47535
205,36110550,2017,9,M,60,12768.63411
206,36110550,2017,9,M,65,7774.566907
207,36110550,2017,9,M,70,5419.902006
208,36110550,2017,9,M,75,3186.787361
209,36110550,2017,10,F,15,13771.30526
210,36110550,2017,10,F,20,10359.01715
211,36110550,2017,10,F,25,17399.86548
212,36110550,2017,10,F,30,26978.19297
213,36110550,2017,10,F,35,39021.15082
214,36110550,2017,10,F,40,31836.45816
215,36110550,2017,10,F,45,23854.25012
216,36110550,2017,10,F,50,17096.67209
217,36110550,2017,10,F,55,16330.68975
218,36110550,2017,10,F,60,12426.43096
219,36110550,2017,10,F,65,7894.024384
220,36110550,2017,10,F,70,6250.831444
221,36110550,2017,10,F,75,5607.399152
222,36110550,2017,10,M,15,13457.69654
223,36110550,2017,10,M,20,10149.15978
224,36110550,2017,10,M,25,12267.74627
225,36110550,2017,10,M,30,20556.41153
226,36110550,2017,10,M,35,31101.6031
227,36110550,2017,10,M,40,30303.62964
228,36110550,2017,10,M,45,27855.56209
229,36110550,2017,10,M,50,18691.74605
230,36110550,2017,10,M,55,16473.19778
231,36110550,2017,10,M,60,11617.78781
232,36110550,2017,10,M,65,7237.095131
233,36110550,2017,10,M,70,5276.082939
234,36110550,2017,10,M,75,3111.578897
235,36110550,2017,11,F,15,14109.80484
236,36110550,2017,11,F,20,9838.480659
237,36110550,2017,11,F,25,17937.5867
238,36110550,2017,11,F,30,27732.85336
239,36110550,2017,11,F,35,40475.70971
240,36110550,2017,11,F,40,32616.72916
241,36110550,2017,11,F,45,23804.97922
242,36110550,2017,11,F,50,17199.06388
243,36110550,2017,11,F,55,16597.78147
244,36110550,2017,11,F,60,12488.47078
245,36110550,2017,11,F,65,8133.263252
246,36110550,2017,11,F,70,6183.634138
247,36110550,2017,11,F,75,5387.334701
248,36110550,2017,11,M,15,13956.90125
249,36110550,2017,11,M,20,9893.618091
250,36110550,2017,11,M,25,12225.21368
251,36110550,2017,11,M,30,20777.02401
252,36110550,2017,11,M,35,31717.3635
253,36110550,2017,11,M,40,30332.95064
254,36110550,2017,11,M,45,28197.70254
255,36110550,2017,11,M,50,18899.7089
256,36110550,2017,11,M,55,16507.389
257,36110550,2017,11,M,60,11764.73261
258,36110550,2017,11,M,65,7255.720547
259,36110550,2017,11,M,70,5408.166841
260,36110550,2017,11,M,75,3104.410165
261,36110550,2017,12,F,15,14241.99557
262,36110550,2017,12,F,20,9933.191278
263,36110550,2017,12,F,25,17356.26814
264,36110550,2017,12,F,30,27299.67733
265,36110550,2017,12,F,35,40433.48147
266,36110550,2017,12,F,40,32834.46512
267,36110550,2017,12,F,45,23933.91226
268,36110550,2017,12,F,50,17320.85476
269,36110550,2017,12,F,55,16717.22242
270,36110550,2017,12,F,60,12912.59636
271,36110550,2017,12,F,65,8388.892092
272,36110550,2017,12,F,70,5966.671888
273,36110550,2017,12,F,75,5312.508077
274,36110550,2017,12,M,15,14078.2736
275,36110550,2017,12,M,20,10523.49292
276,36110550,2017,12,M,25,12065.52653
277,36110550,2017,12,M,30,20749.77174
278,36110550,2017,12,M,35,31597.51167
279,36110550,2017,12,M,40,30390.82504
280,36110550,2017,12,M,45,28274.66839
281,36110550,2017,12,M,50,18674.47608
282,36110550,2017,12,M,55,16475.08721
