year,month,h_dng_cd,population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,living_sector_revenue,d_sum,n_sum
2017,9,36110530,371686.147871,24210,28327,28522,8412080806,20184,20413
2017,9,36110540,276384.800063,30240,36259,36439,10239798148,25498,25751
2017,9,36110550,467183.544086,26129,30609,30837,6914110223,21610,21879
2017,9,36110560,438495.1155180001,22357,27228,27274,7643555824,19042,19173
2017,10,36110250,993090.23413,44253,40558,43094,26610392757,40558,43094
2017,10,36110310,391234.296424,2594,15647,12099,2055734541,15647,12099
2017,10,36110320,116020.49582300002,3146,3914,2361,853151113,3914,2361
2017,10,36110330,158170.60555500002,6159,8837,5615,5293493527,8837,5615
2017,10,36110340,131765.869872,8747,14240,13674,4146127246,9317,8012
2017,10,36110350,292636.75032600004,6050,10006,9622,5010185612,13465,14957
2017,10,36110360,236985.633943,7438,10352,10365,3627435331,10352,10365
2017,10,36110370,184712.139194,5918,8036,5510,2977723222,8036,5510
2017,10,36110380,70147.46475100004,3571,3059,2044,719136548,3059,2044
2017,10,36110390,48981.3780116,2656,1599,1470,2498736836,1599,1470
2017,10,36110510,311329.406176,19762,25000,24533,14190596477,17632,17378
2017,10,36110515,465035.594954,21162,28045,27417,8905648020,19742,19386
2017,10,36110520,572733.3704840001,32095,42139,41233,23522513656,29560,29050
2017,10,36110530,396834.6714969999,24225,29663,29215,7567695286,21227,20989
2017,10,36110540,274120.26751700003,30204,37975,37300,9900744996,26841,26475
2017,10,36110550,436925.585297,26130,32107,31590,6357288741,22778,22507
2017,10,36110560,481769.736446,23552,30114,29473,7354489805,21176,20822
2017,11,36110250,1024481.79946,44109,41233,44286,27242384117,41233,44286
2017,11,36110310,398355.46514499997,2579,15791,12359,2173285253,15791,12359
2017,11,36110320,115208.16759200001,3129,4130,2448,927598123,4130,2448
2017,11,36110330,159944.905503,6114,9289,5889,5848237511,9289,5889
2017,11,36110340,135379.766812,8731,14211,13790,4636696546,9361,8338
2017,11,36110350,331776.125973,6039,9996,9727,5585358353,13875,15241
2017,11,36110360,235568.73476700005,7411,10365,10415,3551442213,10365,10415
2017,11,36110370,184422.58174300002,5894,8397,5612,3093888349,8397,5612
2017,11,36110380,65801.34967400001,3557,3056,2049,757548600,3056,2049
2017,11,36110390,44253.2367863,2649,1688,1512,2304319733,1688,1512
2017,11,36110510,303066.93885700003,19819,24968,24762,13101741489,17680,17606
2017,11,36110515,494665.6738879999,22195,29308,29038,10089035403,20717,20625
2017,11,36110520,568544.202817,32073,41946,41564,23511092038,29557,29419
2017,11,36110530,399912.5967340001,24161,29408,29295,7836576127,21143,21143
2017,11,36110540,258763.873987,30182,37760,37553,9985831405,26799,26768
2017,11,36110550,442546.59364400007,26178,31958,31853,6495693972,22764,22793
2017,11,36110560,528887.0249229999,25581,32646,32390,7837049774,23064,22995
2017,12,36110250,980902.31091,44019,39815,42674,28189152735,39815,42674
2017,12,36110310,400838.478037,2602,15085,11914,2277202874,15085,11914
2017,12,36110320,109202.540832,3111,4165,2500,871240185,4165,2500
