year,month,hd_cd,sector_code,living_ingu,revenue,customer_count,payment_count
2017,1,36110250,1001,319582.22543,6007773.665359999,97.672938682,97.672938682
2017,1,36110250,1003,26532.76384,976729.3868,8.879358062,8.879358062
2017,1,36110250,1004,877742.7379900002,485773254.8725,5363.132269552,5602.874937252001
2017,1,36110250,1007,690786.2133100001,41483472.9307,532.761483728,532.761483728
2017,1,36110250,1008,847231.6943200002,86933576.1786,2308.6330960640003,2415.185392864
2017,1,36110250,1010,90993.32668,790262.86746,26.638074185999997,26.638074185999997
2017,1,36110250,1099,687448.1783900001,81067351.21380001,985.6087448740001,1065.522967394
2017,1,36110250,1101,42896.38618,3773727.1760000004,17.75871612,17.75871612
2017,1,36110250,1102,666377.3660100002,20605438.319519997,346.2949644139999,346.2949644139999
2017,1,36110250,1104,300700.91735,2992343.66686,133.19037091799999,133.19037091799999
2017,1,36110250,1201,617593.5753100001,60287289.4993,550.5201998560001,559.399557916
2017,1,36110250,1202,189207.62253,4031228.5606199997,44.39679031,44.39679031
2017,1,36110250,1203,242857.96705,5753824.02391,79.91422254599999,79.91422254599999
2017,1,36110250,1204,806150.5433500002,191947180.0915,2308.633096182,2326.391812382
2017,1,36110250,1205,132546.29045,1243110.1286,26.638074185999997,26.638074185999997
2017,1,36110250,1206,119051.74385,7325470.4013,62.155506433999996,62.155506433999996
2017,1,36110250,1207,666579.9364900001,21345976.780700002,559.3995579100001,559.3995579100001
2017,1,36110250,1208,220998.38476000002,1509490.8705199999,71.034864496,71.034864496
2017,1,36110250,1299,398911.12517,32503788.063200004,195.34587735799997,195.34587735799997
2017,1,36110250,2002,856874.4960900001,99445593.30473003,14659.820160566,15521.117893046001
2017,1,36110250,2003,877742.7379900002,351151904.2086,29674.81464348201,30882.40733908201
2017,1,36110250,2004,877742.7379900002,320560173.77959,38589.69014014199,40978.23745664199
2017,1,36110250,2099,877742.7379900002,252012960.71739995,17332.506937742,17900.785853922003
2017,1,36110250,2104,877742.7379900002,3121779777.0070004,99857.26076565999,104083.83520686
2017,1,36110250,2107,847231.6943200002,128649473.50999999,2894.6707282680004,2921.308802368
2017,1,36110250,2109,877742.7379900002,331236346.87099993,15148.184852514,15290.254582014002
2017,1,36110250,2110,856874.4960900001,123060207.62526001,4572.8694019740005,4679.421698674
2017,1,36110250,2112,842491.8332800001,713403628.971,22855.46765324,23619.092444870003
2017,1,36110250,2199,877742.7379900002,944852428.5516,57129.78977197,59766.959117499995
2017,1,36110250,2299,399535.79082000005,88725954.6394,417.329828916,426.209186976
2017,1,36110250,2312,432036.22065000003,119862210.858,532.761483714,683.710570764
2017,1,36110250,2401,261826.81991999998,3240965.6926700003,88.793580608,88.793580608
2017,1,36110250,2402,843862.9328300002,644096483.7261,13292.399019051998,14180.334825492
2017,1,36110250,2403,576656.69709,38809099.0781,230.863309612,230.863309612
2017,1,36110250,2404,192841.90175,18278810.1866,62.155506425999995,62.155506425999995
2017,1,36110250,2406,813351.8891600001,427412148.2858,10672.98839064,11747.390716399997
2017,1,36110250,2407,115258.47483999998,3631657.4476,26.638074185999997,26.638074185999997
2017,1,36110250,2499,720374.8807000001,34077644.338149995,1402.938573978,1482.8527963779998
2017,1,36110250,3001,397240.74896000006,10442125.0801,97.67293867799998,97.67293867799998
2017,1,36110250,3101,795161.0250300003,450241126.7778999,1962.338131692,2042.252354372
2017,1,36110250,3102,333951.9156,23225914.471699998,177.587161236,177.587161236
2017,1,36110250,3201,525431.5665600001,8344820.70695,239.742667654,239.742667654
2017,1,36110250,3202,78671.50799000001,1660439.9575999998,26.638074181999997,26.638074181999997
2017,1,36110250,3203,795161.0250300003,68885612.463,2290.874379882,2388.5473186720005
2017,1,36110250,3204,53682.83158,244182.3467,8.879358062,8.879358062
2017,1,36110250,3299,52479.05474000001,1101040.3997,17.758716124,17.758716124
2017,1,36110250,3302,194427.12866000002,18351560.5996,44.39679031,44.39679031
2017,1,36110250,3303,124114.07196,1047764.2514,26.638074185999997,26.638074185999997
2017,1,36110250,3401,713681.4271200001,48692374.877239995,1021.1261771040002,1101.0403996639998
2017,1,36110250,3402,82075.86909,10113588.833,17.758716124,17.758716124
2017,1,36110250,3403,679190.1806900001,93453323.28405,1500.611512544,1722.5954639619997
2017,1,36110250,3404,85116.72860999999,52100000.0,26.638074181999997,26.638074181999997
2017,1,36110250,3405,320773.86664,3913133.0974999997,133.19037092599999,133.19037092599999
2017,1,36110250,3406,186058.49145,1898406.75344,44.39679031,62.155506438
2017,1,36110250,3499,96746.29516000001,22479699.779,26.638074181999997,26.638074181999997
2017,1,36110250,4101,877742.7379900002,2528694003.9644995,119640.47053922001,131725.27685308
2017,1,36110250,4107,813351.8891600001,2239764492.711,40809.52965457999,45844.125674999996
2017,1,36110250,4108,813351.8891600001,160353176.12805998,3702.692311822,3871.400115082
2017,1,36110250,4110,877742.7379900002,786999968.4512601,33297.592734352,35259.93086537199
2017,1,36110250,4111,115879.25428,8053577.7624,35.517432244,35.517432244
2017,1,36110250,4112,877742.7379900002,1180665035.5821998,154225.57018947002,179469.58514486998
2017,1,36110250,4113,766069.8314400001,419016668.27267,3764.8478184839996,4288.729944023999
2017,1,36110250,4114,192146.30573,16603121.1988,71.034864484,71.034864484
2017,1,36110250,4115,667881.85961,160482541.44410002,2708.2042090719992,2521.7376895719995
2017,1,36110250,4200,608053.3233500001,126127475.96660002,559.3995579159999,639.3137804859999
2017,1,36110250,5103,759910.1203200001,136489080.282,2841.394580003999,2885.7913702639994
