id,hd_cd,year,month,upjong_code,revenue,customer_count,payment_count,high_class,upjong
96,3611025000,2017,1,8211,5.410636835E7,97.67,97.67,13,
97,3611025000,2017,1,7107,5.552262596E7,142.07,142.07,11,
98,3611025000,2017,1,8202,6.097899149E7,381.81,381.81,13,
99,3611025000,2017,1,7105,6.356288469E7,3933.56,3969.07,12,
100,3611025000,2017,1,8102,6.477491706E7,372.93,381.81,13,2
101,3611025000,2017,1,2110,6.98743324E7,2894.67,2947.95,2,3
102,3611025000,2017,1,1099,7.080355722E7,896.82,923.45,1,1
103,3611025000,2017,1,3203,7.148771176E7,2290.87,2361.91,4,
104,3611025000,2017,1,1008,7.450225382E7,2077.77,2166.56,1,1
105,3611025000,2017,1,8404,7.739426074E7,44.4,44.4,13,
106,3611025000,2017,1,2002,7.758339107E7,12155.84,12653.09,2,
107,3611025000,2017,1,6114,8.099634993E7,5389.77,5585.12,10,1
108,3611025000,2017,1,6113,1.108459103E8,3871.4,3951.31,10,
109,3611025000,2017,1,4115,1.157711127E8,1775.87,1846.91,6,
110,3611025000,2017,1,8106,1.1890082E8,328.54,443.97,13,
111,3611025000,2017,1,7002,1.30190391E8,1811.39,1980.1,11,2
112,3611025000,2017,1,2099,1.314255097E8,10024.8,10371.09,2,3
113,3611025000,2017,1,3401,1.388291984E8,1838.03,1891.3,5,
114,3611025000,2017,1,3403,1.429622821E8,2503.98,2681.57,5,
115,3611025000,2017,1,4200,1.63631563E8,594.92,665.95,6,
116,3611025000,2017,1,1204,1.735363093E8,1758.11,1784.75,1,2
117,3611025000,2017,1,4108,1.764108239E8,3418.55,3507.35,6,1
118,3611025000,2017,1,7106,1.839854491E8,5505.2,5878.14,12,1
119,3611025000,2017,1,2004,2.147474967E8,28049.89,28849.03,2,3
120,3611025000,2017,1,7102,2.36100355E8,7236.68,7254.44,12,2
121,3611025000,2017,1,2109,2.400458978E8,11276.78,11312.3,2,3
122,3611025000,2017,1,2003,2.468489511E8,21026.32,21576.84,2,3
123,3611025000,2017,1,5609,2.645060785E8,8284.44,8293.32,8,
124,3611025000,2017,1,6001,2.828537269E8,2583.89,2663.81,9,
125,3611025000,2017,1,7005,3.10730223E8,24524.79,25386.08,11,1
126,3611025000,2017,1,1004,3.967753404E8,4421.92,4581.75,1,1
127,3611025000,2017,1,2199,4.103006627E8,34070.1,34833.72,2,3
128,3611025000,2017,1,3101,4.119081728E8,1971.22,2024.49,4,
129,3611025000,2017,1,2406,4.284585859E8,9864.97,11072.56,2,1
130,3611025000,2017,1,4112,5.158183367E8,83412.69,85703.56,6,1
131,3611025000,2017,1,2402,5.224118816E8,10451.0,10983.77,2,1
132,3611025000,2017,1,4110,5.588485938E8,21994.17,22597.97,6,1
133,3611025000,2017,1,5605,6.110632326E8,5620.63,5709.43,8,2
134,3611025000,2017,1,7003,9.307157542E8,28369.55,29266.36,11,2
135,3611025000,2017,1,2104,1.184786252E9,53249.51,53675.72,2,3
136,3611025000,2017,1,9011,1.546880959E9,4572.87,6091.24,14,2
137,3611025000,2017,1,4107,1.575151681E9,26975.49,29381.8,6,1
