year,month,h_dng_cd,d_sum,n_sum
2018,1,36110390,1752,1586
2018,1,36110510,17141,17178
2018,1,36110515,21550,21594
2018,1,36110520,28650,28702
2018,1,36110530,20600,20723
2018,1,36110540,26042,26179
2018,1,36110550,22177,22346
2018,1,36110560,25856,25962
2018,2,36110250,32875,36167
2018,2,36110310,14380,10818
2018,2,36110320,4084,2563
2018,2,36110330,8810,5699
2018,2,36110340,8793,7841
2018,2,36110350,10091,11978
2018,2,36110360,10562,9954
2018,2,36110370,7975,5844
2018,2,36110380,2962,2058
2018,2,36110390,1821,1590
2018,2,36110510,16868,16927
2018,2,36110515,23788,23878
2018,2,36110520,28405,28488
2018,2,36110530,20325,20480
2018,2,36110540,25728,25891
2018,2,36110550,21961,22151
2018,2,36110560,26887,27025
2018,3,36110250,42171,44985
2018,3,36110310,14638,10954
2018,3,36110320,4295,2781
2018,3,36110330,9081,5808
2018,3,36110340,9208,8236
2018,3,36110350,12684,14211
2018,3,36110360,10326,10212
2018,3,36110370,8343,5833
2018,3,36110380,2998,2012
2018,3,36110390,1836,1589
2018,3,36110510,17685,17751
2018,3,36110515,27761,27850
2018,3,36110520,29876,29950
2018,3,36110530,21444,21614
2018,3,36110540,27009,27173
2018,3,36110550,23103,23295
2018,3,36110560,29196,29338
2018,4,36110250,42435,45111
2018,4,36110310,14929,10619
2018,4,36110320,4217,2643
2018,4,36110330,9130,5916
2018,4,36110340,9494,8260
2018,4,36110350,13090,14161
2018,4,36110360,10382,9916
2018,4,36110370,8414,5873
2018,4,36110380,3105,2098
2018,4,36110390,1775,1625
2018,4,36110510,17544,17614
2018,4,36110515,31800,31969
2018,4,36110520,29774,29871
2018,4,36110530,21280,21457
2018,4,36110540,26799,26982
2018,4,36110550,22904,23116
2018,4,36110560,29523,29710
2018,5,36110250,41958,44656
2018,5,36110310,14942,10440
2018,5,36110320,4320,2633
2018,5,36110330,9452,5934
2018,5,36110340,9668,8243
2018,5,36110350,13205,14200
2018,5,36110360,10545,10298
2018,5,36110370,8395,5993
2018,5,36110380,3218,2136
2018,5,36110390,1841,1618
2018,5,36110510,17526,17588
2018,5,36110515,34519,34693
2018,5,36110520,29732,29822
2018,5,36110530,21258,21423
2018,5,36110540,26810,26982
2018,5,36110550,22969,23173
2018,5,36110560,29843,30031
2018,6,36110250,40710,43313
2018,6,36110310,14915,10669
2018,6,36110320,4295,2672
2018,6,36110330,9342,6077
2018,6,36110340,9755,8478
2018,6,36110350,12352,13855
2018,6,36110360,10565,10339
2018,6,36110370,8659,5916
2018,6,36110380,3221,2176
2018,6,36110390,1830,1668
