id,etl_ymd,ht,sido_cd,sgg_cd,cnt
185,20180901,08,36,11320,19
186,20180901,08,36,11350,42
187,20180901,08,36,11560,46
188,20180901,08,36,11650,69
189,20180901,08,36,11740,44
190,20180901,08,36,26200,5
191,20180901,08,36,26380,7
192,20180901,08,36,26440,5
193,20180901,08,36,27140,31
194,20180901,08,36,27170,5
195,20180901,08,36,28177,17
196,20180901,08,36,28245,26
197,20180901,08,36,28710,6
198,20180901,08,36,29170,44
199,20180901,08,36,30140,225
200,20180901,08,36,30170,529
201,20180901,08,36,31170,9
202,20180901,08,36,41117,36
203,20180901,08,36,41135,60
204,20180901,08,36,41173,49
205,20180901,08,36,41281,38
206,20180901,08,36,41285,30
207,20180901,08,36,41310,10
208,20180901,08,36,41370,28
209,20180901,08,36,41390,51
210,20180901,08,36,41430,27
211,20180901,08,36,41550,38
212,20180901,08,36,43112,162
213,20180901,08,36,43130,32
214,20180901,08,36,43720,29
215,20180901,08,36,43745,22
216,20180901,08,36,44150,323
217,20180901,08,36,44180,36
218,20180901,08,36,44200,148
219,20180901,08,36,44760,43
220,20180901,08,36,44810,45
221,20180901,08,36,45730,4
222,20180901,08,36,45800,8
223,20180901,08,36,46820,4
224,20180901,08,36,46830,5
225,20180901,08,36,47111,10
226,20180901,08,36,47250,11
227,20180901,08,36,47840,4
228,20180901,08,36,47850,4
229,20180901,08,36,48121,7
230,20180901,08,36,48310,7
231,20180901,09,36,11215,57
232,20180901,09,36,11230,42
233,20180901,09,36,11470,73
234,20180901,09,36,11680,87
235,20180901,09,36,11710,92
236,20180901,09,36,26260,13
237,20180901,09,36,26470,12
238,20180901,09,36,27110,16
239,20180901,09,36,27230,69
240,20180901,09,36,27260,46
241,20180901,09,36,27290,51
242,20180901,09,36,28200,35
243,20180901,09,36,30110,222
244,20180901,09,36,31140,23
245,20180901,09,36,41111,65
246,20180901,09,36,41171,33
247,20180901,09,36,41190,108
248,20180901,09,36,41273,34
249,20180901,09,36,41590,148
250,20180901,09,36,41630,12
251,20180901,09,36,41650,7
252,20180901,09,36,41800,5
253,20180901,09,36,41830,8
254,20180901,09,36,42130,13
255,20180901,09,36,43114,140
256,20180901,09,36,43740,42
257,20180901,09,36,43750,34
258,20180901,09,36,44800,57
259,20180901,09,36,44825,16
260,20180901,09,36,45113,52
261,20180901,09,36,45770,4
262,20180901,09,36,46150,41
263,20180901,09,36,46170,27
264,20180901,09,36,46720,4
265,20180901,09,36,46790,13
266,20180901,09,36,46800,6
267,20180901,09,36,46880,7
268,20180901,09,36,46910,4
269,20180901,09,36,47113,42
270,20180901,09,36,47190,62
271,20180901,09,36,47820,5
272,20180901,09,36,48250,13
273,20180901,10,36,11140,24
274,20180901,10,36,11200,53
275,20180901,10,36,11290,47
276,20180901,10,36,11440,72
277,20180901,10,36,11500,81
278,20180901,10,36,11545,34
279,20180901,10,36,11590,80
280,20180901,10,36,11620,89
281,20180901,10,36,26290,29
282,20180901,10,36,26410,29
283,20180901,10,36,26500,19
284,20180901,10,36,26530,12
285,20180901,10,36,27200,18
286,20180901,10,36,27710,22
287,20180901,10,36,28237,51
288,20180901,10,36,28260,50
289,20180901,10,36,29110,17
290,20180901,10,36,29140,39
291,20180901,10,36,29200,54
292,20180901,10,36,30200,938
293,20180901,10,36,30230,318
294,20180901,10,36,31200,27
295,20180901,10,36,41113,64
296,20180901,10,36,41131,29
297,20180901,10,36,41150,33
298,20180901,10,36,41271,48
299,20180901,10,36,41287,18
300,20180901,10,36,41461,16
301,20180901,10,36,41463,51
302,20180901,10,36,41465,55
303,20180901,10,36,41570,29
304,20180901,10,36,41610,34
305,20180901,10,36,41670,8
306,20180901,10,36,41820,6
307,20180901,10,36,42110,38
308,20180901,10,36,43111,156
309,20180901,10,36,43730,52
310,20180901,10,36,43760,10
311,20180901,10,36,44710,37
312,20180901,10,36,44770,18
313,20180901,10,36,44790,71
314,20180901,10,36,45130,58
315,20180901,10,36,45140,94
316,20180901,10,36,46110,29
317,20180901,10,36,46840,11
318,20180901,10,36,47150,64
319,20180901,10,36,48123,10
320,20180901,10,36,48125,5
321,20180901,10,36,48129,5
322,20180901,10,36,48170,20
323,20180901,10,36,48240,4
324,20180901,10,36,50110,15
325,20180901,10,36,50130,11
326,20180901,11,36,11170,42
327,20180901,11,36,11260,46
328,20180901,11,36,11320,23
329,20180901,11,36,11350,53
330,20180901,11,36,11560,98
331,20180901,11,36,11650,90
332,20180901,11,36,11740,63
333,20180901,11,36,26140,8
334,20180901,11,36,26200,19
335,20180901,11,36,26380,23
336,20180901,11,36,26440,10
337,20180901,11,36,27140,43
338,20180901,11,36,27170,9
339,20180901,11,36,28177,33
340,20180901,11,36,28245,17
341,20180901,11,36,28710,8
342,20180901,11,36,29170,60
343,20180901,11,36,30140,373
344,20180901,11,36,30170,793
345,20180901,11,36,31170,21
346,20180901,11,36,41117,87
347,20180901,11,36,41135,109
348,20180901,11,36,41173,63
349,20180901,11,36,41250,6
350,20180901,11,36,41281,62
351,20180901,11,36,41285,30
352,20180901,11,36,41310,17
353,20180901,11,36,41370,36
354,20180901,11,36,41390,50
355,20180901,11,36,41430,24
356,20180901,11,36,41550,33
357,20180901,11,36,42150,4
358,20180901,11,36,43112,336
359,20180901,11,36,43130,31
360,20180901,11,36,43720,11
361,20180901,11,36,43745,23
362,20180901,11,36,44150,515
363,20180901,11,36,44180,89
364,20180901,11,36,44200,236
365,20180901,11,36,44760,73
366,20180901,11,36,44810,77
367,20180901,11,36,45730,5
368,20180901,11,36,45800,5
369,20180901,11,36,46820,10
370,20180901,11,36,46830,11
371,20180901,11,36,47111,43
372,20180901,11,36,47170,4
373,20180901,11,36,47230,12
374,20180901,11,36,47250,10
375,20180901,11,36,47280,7
376,20180901,11,36,47850,14
377,20180901,11,36,48121,24
378,20180901,11,36,48127,7
379,20180901,11,36,48310,10
380,20180901,12,36,11215,43
381,20180901,12,36,11230,33
382,20180901,12,36,11470,48
383,20180901,12,36,11680,81
384,20180901,12,36,11710,88
385,20180901,12,36,26260,12
386,20180901,12,36,26470,17
387,20180901,12,36,27110,12
388,20180901,12,36,27230,50
389,20180901,12,36,27260,43
390,20180901,12,36,27290,57
391,20180901,12,36,28140,5
392,20180901,12,36,28200,35
393,20180901,12,36,30110,326
394,20180901,12,36,31140,33
395,20180901,12,36,41111,55
396,20180901,12,36,41171,29
397,20180901,12,36,41190,79
398,20180901,12,36,41273,29
399,20180901,12,36,41590,155
400,20180901,12,36,41630,11
401,20180901,12,36,41650,4
402,20180901,12,36,41830,8
403,20180901,12,36,42130,21
404,20180901,12,36,42210,7
405,20180901,12,36,42750,5
406,20180901,12,36,43114,224
407,20180901,12,36,43740,39
408,20180901,12,36,43750,39
409,20180901,12,36,43800,7
410,20180901,12,36,44800,75
411,20180901,12,36,44825,27
412,20180901,12,36,45113,63
413,20180901,12,36,46150,32
414,20180901,12,36,46170,21
415,20180901,12,36,46770,6
416,20180901,12,36,46790,6
417,20180901,12,36,46800,5
418,20180901,12,36,46880,5
419,20180901,12,36,47113,18
420,20180901,12,36,47190,66
421,20180901,12,36,47820,4
422,20180901,12,36,48250,29
423,20180901,13,36,11110,23
424,20180901,13,36,11305,32
425,20180901,13,36,11380,59
426,20180901,13,36,11410,47
427,20180901,13,36,11530,54
428,20180901,13,36,26170,7
429,20180901,13,36,26230,16
430,20180901,13,36,26320,8
431,20180901,13,36,26350,19
432,20180901,13,36,26710,4
433,20180901,13,36,28185,53
434,20180901,13,36,29155,21
435,20180901,13,36,31110,6
436,20180901,13,36,31710,17
437,20180901,13,36,41115,22
438,20180901,13,36,41133,25
439,20180901,13,36,41210,41
440,20180901,13,36,41220,147
441,20180901,13,36,41290,18
442,20180901,13,36,41360,40
443,20180901,13,36,41410,41
444,20180901,13,36,41450,23
445,20180901,13,36,41480,27
446,20180901,13,36,41500,23
447,20180901,13,36,42170,4
448,20180901,13,36,43113,667
449,20180901,13,36,43150,15
450,20180901,13,36,43770,39
451,20180901,13,36,44131,305
452,20180901,13,36,44133,236
453,20180901,13,36,44210,96
454,20180901,13,36,44230,133
455,20180901,13,36,44250,101
456,20180901,13,36,44270,86
457,20180901,13,36,45111,58
458,20180901,13,36,45180,17
459,20180901,13,36,45190,10
460,20180901,13,36,45210,8
461,20180901,13,36,45710,9
462,20180901,13,36,45790,7
463,20180901,13,36,46130,7
464,20180901,13,36,47130,29
465,20180901,13,36,47290,27
466,20180901,13,36,48270,7
467,20180901,13,36,48330,6
468,20180901,13,36,48730,4
469,20180901,14,36,11140,13
470,20180901,14,36,11200,51
471,20180901,14,36,11290,60
472,20180901,14,36,11440,70
473,20180901,14,36,11500,99
474,20180901,14,36,11545,27
475,20180901,14,36,11590,114
476,20180901,14,36,11620,112
477,20180901,14,36,26290,17
478,20180901,14,36,26410,19
479,20180901,14,36,26500,14
480,20180901,14,36,26530,5
481,20180901,14,36,27200,23
482,20180901,14,36,27710,18
483,20180901,14,36,28237,43
484,20180901,14,36,28260,49
485,20180901,14,36,29110,18
486,20180901,14,36,29140,55
487,20180901,14,36,29200,54
488,20180901,14,36,30200,1172
489,20180901,14,36,30230,329
490,20180901,14,36,31200,22
491,20180901,14,36,41113,59
492,20180901,14,36,41131,43
493,20180901,14,36,41150,29
494,20180901,14,36,41271,46
495,20180901,14,36,41287,33
496,20180901,14,36,41461,42
