,year,month,h_dng_cd,sector_code,living_ingu,revenue,customer_count,payment_count,saengwhal_population,jumin_ingu,jugan_sangju_ingu,yagan_sangju_ingu,dong_name,upjong_name
0,2017,1,36110250,1001,319582.22543,6007773.665359999,97.67293868200001,97.67293868200001,877742.7379900002,45032,32302,35741,조치원읍,의생활
1,2017,1,36110250,1003,26532.76384,976729.3868,8.879358062,8.879358062,877742.7379900002,45032,32302,35741,조치원읍,의생활
2,2017,1,36110250,1004,877742.7379900002,485773254.8725,5363.132269552,5602.874937252001,877742.7379900002,45032,32302,35741,조치원읍,의생활
3,2017,1,36110250,1007,690786.21331,41483472.9307,532.761483728,532.761483728,877742.7379900002,45032,32302,35741,조치원읍,의생활
4,2017,1,36110250,1008,847231.6943200001,86933576.1786,2308.6330960640007,2415.185392864,877742.7379900002,45032,32302,35741,조치원읍,의생활
5,2017,1,36110250,1010,90993.32668,790262.8674600001,26.638074186,26.638074186,877742.7379900002,45032,32302,35741,조치원읍,의생활
6,2017,1,36110250,1099,687448.1783900001,81067351.21380001,985.608744874,1065.522967394,877742.7379900002,45032,32302,35741,조치원읍,의생활
7,2017,1,36110250,1101,42896.38618,3773727.176,17.75871612,17.75871612,877742.7379900002,45032,32302,35741,조치원읍,의생활
8,2017,1,36110250,1102,666377.3660100002,20605438.31952,346.2949644139999,346.2949644139999,877742.7379900002,45032,32302,35741,조치원읍,의생활
9,2017,1,36110250,1104,300700.91735,2992343.6668599998,133.19037091799999,133.19037091799999,877742.7379900002,45032,32302,35741,조치원읍,의생활
10,2017,1,36110250,1201,617593.5753100001,60287289.4993,550.5201998560001,559.3995579159999,877742.7379900002,45032,32302,35741,조치원읍,의생활
11,2017,1,36110250,1202,189207.62253,4031228.56062,44.39679031,44.39679031,877742.7379900002,45032,32302,35741,조치원읍,의생활
12,2017,1,36110250,1203,242857.96705,5753824.02391,79.91422254599999,79.91422254599999,877742.7379900002,45032,32302,35741,조치원읍,의생활
13,2017,1,36110250,1204,806150.5433500002,191947180.0915,2308.633096182,2326.391812382,877742.7379900002,45032,32302,35741,조치원읍,의생활
14,2017,1,36110250,1205,132546.29045,1243110.1286,26.638074186,26.638074186,877742.7379900002,45032,32302,35741,조치원읍,의생활
15,2017,1,36110250,1206,119051.74385,7325470.4013,62.155506433999996,62.155506433999996,877742.7379900002,45032,32302,35741,조치원읍,의생활
16,2017,1,36110250,1207,666579.9364900001,21345976.7807,559.3995579100001,559.3995579100001,877742.7379900002,45032,32302,35741,조치원읍,의생활
17,2017,1,36110250,1208,220998.38476,1509490.87052,71.034864496,71.034864496,877742.7379900002,45032,32302,35741,조치원읍,의생활
18,2017,1,36110250,1299,398911.12516999996,32503788.063200004,195.345877358,195.345877358,877742.7379900002,45032,32302,35741,조치원읍,의생활
19,2017,1,36110250,2002,856874.4960900001,99445593.30473004,14659.820160566002,15521.117893046001,877742.7379900002,45032,32302,35741,조치원읍,식생활
20,2017,1,36110250,2003,877742.7379900002,351151904.2086,29674.814643482012,30882.407339082012,877742.7379900002,45032,32302,35741,조치원읍,식생활
21,2017,1,36110250,2004,877742.7379900002,320560173.77959,38589.69014014199,40978.23745664199,877742.7379900002,45032,32302,35741,조치원읍,식생활
22,2017,1,36110250,2099,877742.7379900002,252012960.71739995,17332.506937742,17900.785853922003,877742.7379900002,45032,32302,35741,조치원읍,식생활
23,2017,1,36110250,2104,877742.7379900002,3121779777.0070004,99857.26076566,104083.83520686,877742.7379900002,45032,32302,35741,조치원읍,식생활
24,2017,1,36110250,2107,847231.6943200001,128649473.51,2894.6707282680004,2921.3088023679998,877742.7379900002,45032,32302,35741,조치원읍,식생활
25,2017,1,36110250,2109,877742.7379900002,331236346.87099993,15148.184852514,15290.254582014002,877742.7379900002,45032,32302,35741,조치원읍,식생활
26,2017,1,36110250,2110,856874.4960900001,123060207.62526,4572.8694019740005,4679.421698674,877742.7379900002,45032,32302,35741,조치원읍,식생활
27,2017,1,36110250,2112,842491.8332800001,713403628.9710001,22855.46765324,23619.092444870006,877742.7379900002,45032,32302,35741,조치원읍,식생활
28,2017,1,36110250,2199,877742.7379900002,944852428.5516,57129.78977197,59766.9591175,877742.7379900002,45032,32302,35741,조치원읍,식생활
29,2017,1,36110250,2299,399535.79082000005,88725954.6394,417.329828916,426.209186976,877742.7379900002,45032,32302,35741,조치원읍,유흥
30,2017,1,36110250,2312,432036.22065,119862210.858,532.7614837140001,683.7105707640001,877742.7379900002,45032,32302,35741,조치원읍,유흥
31,2017,1,36110250,2401,261826.81992,3240965.6926700007,88.793580608,88.793580608,877742.7379900002,45032,32302,35741,조치원읍,식생활
32,2017,1,36110250,2402,843862.9328300002,644096483.7261,13292.399019051996,14180.334825492,877742.7379900002,45032,32302,35741,조치원읍,식생활
33,2017,1,36110250,2403,576656.6970899999,38809099.0781,230.863309612,230.863309612,877742.7379900002,45032,32302,35741,조치원읍,식생활
34,2017,1,36110250,2404,192841.90175,18278810.1866,62.155506426,62.155506426,877742.7379900002,45032,32302,35741,조치원읍,식생활
35,2017,1,36110250,2406,813351.8891600001,427412148.2858,10672.98839064,11747.390716399996,877742.7379900002,45032,32302,35741,조치원읍,식생활
36,2017,1,36110250,2407,115258.47483999998,3631657.4476,26.638074186,26.638074186,877742.7379900002,45032,32302,35741,조치원읍,식생활
37,2017,1,36110250,2499,720374.8807000002,34077644.338149995,1402.9385739779998,1482.8527963779998,877742.7379900002,45032,32302,35741,조치원읍,식생활
